battery_consumption_ratio,seed,episodes,observation_days,human_ev_vehicle_count,aev_vehicle_count,all_vehicle_count,base_consumption_wh_per_mile,effective_consumption_wh_per_mile,effective_consumption_kwh_per_km,configured_initial_battery_mean,realized_initial_battery_mean,realized_initial_battery_mean_human_ev,realized_initial_battery_mean_aev,avg_daily_charging_sessions_per_human_ev,avg_daily_charging_sessions_per_aev,avg_daily_charging_sessions_per_vehicle,avg_charging_session_duration_minutes_human_ev,avg_charging_session_duration_minutes_aev,avg_charging_session_duration_minutes_all,avg_wait_steps_waiting_charging_vehicles,avg_wait_minutes_waiting_charging_vehicles,waiting_charging_vehicle_count,mean_completed_orders,mean_service_ratio,mean_final_battery_soc,mean_final_battery_soc_human_ev,mean_final_battery_soc_aev,total_distance_km_human_ev,total_distance_km_aev,mcmf_aev_request_selections,mcmf_aev_charge_selections,mcmf_aev_wait_selections,mcmf_aev_relocate_selections,mcmf_low_soc_aev_charge_selections,mcmf_low_soc_aev_wait_selections,initial_soc_case
0.8,256,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.875,0.8706528743173492,0.8702900680856395,0.871015680549059,5.87,0.0,2.935,17.13888888888889,0.0,17.13888888888889,4.181818181818182,8.363636363636363,44.0,7992.0,0.0622463841486685,0.4655351133872578,0.7307971296178225,0.2002730971566931,33743.97518207683,30066.35709049396,4211,0,0,11160,0,0,0.875
0.8,512,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.875,0.8755651451554806,0.8739495736884639,0.8771807166224973,5.7,0.0,2.85,17.043010752688172,0.0,17.043010752688172,3.4054054054054053,6.8108108108108105,37.0,8064.0,0.0628071623842421,0.4555420022964666,0.710344686693134,0.2007393178997992,33962.296009125464,30321.809213196488,4240,0,0,10698,0,0,0.875
0.8,1024,1,1.0,100,100,200,230.0,184.0,0.1143322993716694,0.875,0.8746093531058361,0.8756884990275522,0.87353020718412,5.58,0.0,2.79,17.610200364298723,0.0,17.610200364298723,4.375,8.75,32.0,8046.0,0.0626669678253487,0.4604153026567237,0.7206035429604946,0.2002270623529528,33996.87737895217,30181.135481604575,4187,0,0,11026,0,0,0.875
0.9025,256,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.875,0.8706528743173492,0.8702900680856395,0.871015680549059,5.64,0.0,2.82,19.439421338155515,0.0,19.439421338155515,4.404761904761905,8.809523809523812,42.0,7670.0,0.0597384592617977,0.4566328601318081,0.7131097283824941,0.2001559918811223,33084.03775621419,26656.271592667465,3959,0,0,17358,0,0,0.875
0.9025,512,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.875,0.8755651451554806,0.8739495736884639,0.8771807166224973,5.53,0.0,2.765,19.418181818181814,0.0,19.418181818181814,4.072727272727272,8.145454545454545,55.0,7582.0,0.0590530636405411,0.4573230411596689,0.7144908604941649,0.2001552218251729,32592.444714462847,26901.26679143854,3941,0,0,17069,0,0,0.875
0.9025,1024,1,1.0,100,100,200,230.0,207.575,0.1289811252286646,0.875,0.8746093531058361,0.8756884990275522,0.87353020718412,5.24,0.0,2.62,20.584795321637426,0.0,20.584795321637426,6.0,12.0,67.0,7514.0,0.0585234397513883,0.4608636219415722,0.7215810163562236,0.200146227526921,32562.19092856908,26756.57302279559,3917,0,0,17313,0,0,0.875
0.95,256,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.875,0.8706528743173492,0.8702900680856395,0.871015680549059,5.84,0.0,2.92,20.086505190311417,0.0,20.086505190311417,4.885245901639344,9.77049180327869,61.0,7425.0,0.0578302555435265,0.4609296377880583,0.7217514893619739,0.2001077862141425,32997.05425650641,25325.27766951994,3766,0,0,20054,0,0,0.875
0.95,512,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.875,0.8755651451554806,0.8739495736884639,0.8771807166224973,5.59,0.0,2.795,20.27322404371585,0.0,20.27322404371585,5.196969696969697,10.393939393939394,66.0,7359.0,0.057316208827584,0.4568027225688029,0.7134740248831671,0.2001314202544387,32643.961998454073,25557.10190811184,3795,0,0,19648,0,0,0.875
0.95,1024,1,1.0,100,100,200,230.0,218.5,0.1357696055038574,0.875,0.8746093531058361,0.8756884990275522,0.87353020718412,5.45,0.0,2.725,20.70280373831776,0.0,20.70280373831776,7.064516129032258,14.129032258064516,93.0,7423.0,0.0578146783703161,0.4531677176824257,0.7062393190478091,0.2000961163170423,32786.52649902024,25420.635958138955,3852,0,0,19677,0,0,0.875
1.0,256,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.875,0.8706528743173492,0.8702900680856395,0.871015680549059,6.02,0.0,3.01,20.60677966101695,0.0,20.60677966101695,4.621951219512195,9.24390243902439,82.0,7263.0,0.0565685045134859,0.4516438808167685,0.7032094009630007,0.2000783606705363,33352.69039944424,24060.068997296483,3622,0,0,22564,0,0,0.875
