configured_initial_battery_mean,realized_initial_battery_mean,realized_initial_battery_mean_human_ev,realized_initial_battery_mean_aev,battery_consumption_ratio,effective_consumption_wh_per_mile,effective_consumption_kwh_per_km,num_seeds,avg_daily_charging_sessions_per_human_ev,std_avg_daily_charging_sessions_per_human_ev,avg_daily_charging_sessions_per_aev,std_avg_daily_charging_sessions_per_aev,avg_daily_charging_sessions_per_vehicle,std_avg_daily_charging_sessions_per_vehicle,avg_charging_session_duration_minutes_human_ev,std_avg_charging_session_duration_minutes_human_ev,avg_charging_session_duration_minutes_aev,std_avg_charging_session_duration_minutes_aev,avg_charging_session_duration_minutes_all,std_avg_charging_session_duration_minutes_all,avg_wait_steps_waiting_charging_vehicles,std_avg_wait_steps_waiting_charging_vehicles,avg_wait_minutes_waiting_charging_vehicles,std_avg_wait_minutes_waiting_charging_vehicles,waiting_charging_vehicle_count,std_waiting_charging_vehicle_count,mean_completed_orders,std_mean_completed_orders,mean_service_ratio,std_mean_service_ratio,mean_final_battery_soc,std_mean_final_battery_soc,mean_final_battery_soc_human_ev,std_mean_final_battery_soc_human_ev,mean_final_battery_soc_aev,std_mean_final_battery_soc_aev,total_distance_km_human_ev,std_total_distance_km_human_ev,total_distance_km_aev,std_total_distance_km_aev,mcmf_aev_request_selections,std_mcmf_aev_request_selections,mcmf_aev_charge_selections,std_mcmf_aev_charge_selections,mcmf_aev_wait_selections,std_mcmf_aev_wait_selections,mcmf_aev_relocate_selections,std_mcmf_aev_relocate_selections,mcmf_low_soc_aev_charge_selections,std_mcmf_low_soc_aev_charge_selections,mcmf_low_soc_aev_wait_selections,std_mcmf_low_soc_aev_wait_selections,pct_change_vs_baseline_avg_daily_charging_sessions_per_human_ev,pct_change_vs_baseline_avg_daily_charging_sessions_per_aev,pct_change_vs_baseline_avg_daily_charging_sessions_per_vehicle,pct_change_vs_baseline_avg_wait_minutes_waiting_charging_vehicles,initial_soc_case
0.875,0.8736091241928886,0.8733093802672185,0.8739088681185588,0.8,184.0,0.1143322993716694,3,5.716666666666666,0.1189771219838316,0.0,0.0,2.858333333333333,0.0594885609919158,17.264033335291927,0.2478868871466371,0.0,0.0,17.264033335291927,0.2478868871466371,3.987407862407862,0.4190266090887951,7.974815724815724,0.8380532181775903,37.666666666666664,4.921607686744467,8034.0,30.59411708155671,0.0625735047860864,0.0002382849304989,0.4604974727801494,0.0040800842528156,0.720581786423817,0.0083496890324161,0.2004131591364817,0.0002313935391714,33901.04952338483,111.96198553609722,30189.76726176501,104.46635014797984,4212.666666666667,21.66923061752668,0.0,0.0,0.0,0.0,10961.333333333334,194.07444161684165,0.0,0.0,0.0,0.0,0.7046388725777897,0.0,0.7046388725777897,-19.84011251976794,0.875
0.875,0.8736091241928886,0.8733093802672185,0.8739088681185588,0.9025,207.575,0.1289811252286646,3,5.47,0.1687206764645833,0.0,0.0,2.735,0.0843603382322916,19.81413282599159,0.5450096579868919,0.0,0.0,19.81413282599159,0.5450096579868919,4.825829725829726,0.8412564507039124,9.651659451659452,1.6825129014078244,54.666666666666664,10.208928554075705,7588.666666666667,63.86096007908292,0.0591049875512424,0.0004973866182664,0.4582731744110164,0.001853267613204,0.7163938684109609,0.0037109530969823,0.2001524804110721,4.432618992289487e-06,32746.22446641537,239.18916776441617,26771.3704689672,100.564689512508,3939.0,17.204650534085253,0.0,0.0,0.0,0.0,17246.666666666668,126.96543711665085,0.0,0.0,0.0,0.0,-3.640634174985325,0.0,-3.640634174985325,-2.985101808052426,0.875
0.875,0.8736091241928886,0.8733093802672185,0.8739088681185588,0.95,218.5,0.1357696055038574,3,5.626666666666666,0.1613140484341713,0.0,0.0,2.813333333333333,0.0806570242170856,20.354177657448343,0.2580324149545861,0.0,0.0,20.354177657448343,0.2580324149545861,5.715577242547099,0.962295872985592,11.431154485094202,1.9245917459711837,73.33333333333333,14.055445761538676,7402.333333333333,30.652170486860395,0.0576537142471422,0.0002387370844739,0.4569666926797623,0.0031709110761758,0.7138216110976501,0.0063375846659058,0.2001117742618745,1.4686056708238977e-05,32809.18091799357,145.03666823344813,25434.33851192358,95.13653131103716,3804.3333333333335,35.72425257751689,0.0,0.0,0.0,0.0,19793.0,184.93422254052024,0.0,0.0,0.0,0.0,-0.8807985907222649,0.0,-0.8807985907222649,14.901721734200324,0.875
0.875,0.8736091241928886,0.8733093802672185,0.8739088681185588,1.0,230.0,0.1429153742145868,3,5.676666666666667,0.2548637980482034,0.0,0.0,2.838333333333334,0.1274318990241017,21.391390906645142,0.5576910532649912,0.0,0.0,21.391390906645142,0.5576910532649912,4.974318187997934,0.5077240876306703,9.948636375995868,1.015448175261341,76.33333333333333,5.436502143433364,7249.666666666667,21.01322334996598,0.0564646566920834,0.0001636633099153,0.4550420236192114,0.0024658506102113,0.7099951214618071,0.0049200100293531,0.2000889257766155,2.1144840039896967e-05,32743.172613059683,529.0413562772377,24163.440941751167,90.96913391115947,3630.0,5.715476066494082,0.0,0.0,0.0,0.0,22364.0,169.30445948054646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
0.875,0.8736091241928886,0.8733093802672185,0.8739088681185588,1.05,241.5,0.1500611429253161,3,5.78,0.1314026889628465,0.0,0.0,2.89,0.0657013444814232,21.651124853376484,0.4658837168102446,0.0,0.0,21.651124853376484,0.4658837168102446,5.428168483211358,0.6053833331530591,10.856336966422717,1.2107666663061185,79.0,11.430952132988164,6981.666666666667,41.20140234938073,0.0543773154818928,0.0003209006904533,0.4516961394861621,0.0072840705252141,0.7033347919676002,0.0145772987668264,0.200057487004724,1.3289466033564256e-05,32200.373098768552,429.8810273841909,23013.8746172762,86.8911837799088,3411.6666666666665,24.087802353519557,0.0,0.0,0.0,0.0,24863.0,156.55244062826574,0.0,0.0,0.0,0.0,1.8203170874926624,0.0,1.8203170874926624,9.12386940402159,0.875
0.875,0.8736091241928886,0.8733093802672185,0.8739088681185588,1.1025,253.575,0.1575642000715819,3,5.913333333333334,0.1225651754056681,0.0,0.0,2.956666666666667,0.061282587702834,22.593100583461577,0.3854399583146634,0.0,0.0,22.593100583461577,0.3854399583146634,5.8645338883216835,0.6245084948868085,11.729067776643369,1.249016989773617,108.66666666666669,7.845734863959881,6750.333333333333,47.89108012517107,0.0525755557805591,0.0003730038251709,0.4527885718684605,0.0013839641448336,0.7055267330764056,0.0027633685689995,0.2000504106605153,5.831942258354512e-06,32358.28913421503,498.0112778403077,21918.205994150223,82.44858212546126,3181.3333333333335,61.11373731730771,0.0,0.0,0.0,0.0,27302.333333333332,279.4570131920511,0.0,0.0,0.0,0.0,4.169113329418672,0.0,4.169113329418672,17.896235557903537,0.875
0.875,0.8736091241928886,0.8733093802672185,0.8739088681185588,1.2,276.0,0.1714984490575041,3,5.82,0.1019803902718558,0.0,0.0,2.91,0.0509901951359279,23.92779905112521,0.5656054123224549,0.0,0.0,23.92779905112521,0.5656054123224549,7.669934790947448,1.2163079674965462,15.339869581894895,2.4326159349930925,122.66666666666669,25.315783394730033,6334.0,47.33568069296845,0.0493329075572655,0.0003686780485927,0.4501793580685844,0.0023189751547707,0.7003157122160689,0.0046395887545586,0.2000430039210998,4.701452336262798e-06,31048.940502934376,157.2747088734501,20137.57309755006,75.6128550551273,2958.0,46.26733909213568,0.0,0.0,0.0,0.0,30838.0,256.9163287920797,0.0,0.0,0.0,0.0,2.524955960070474,0.0,2.524955960070474,54.1906750045366,0.875
0.45,0.4486091241928885,0.4483093802672185,0.4489088681185587,0.8,184.0,0.1143322993716694,3,5.739999999999999,0.1606237840420903,0.0,0.0,2.8699999999999997,0.0803118920210451,24.86387024245771,0.2186925557182794,0.0,0.0,24.86387024245771,0.2186925557182794,75.28001990269792,2.6421252009203915,150.56003980539583,5.2842504018407706,263.3333333333333,8.379870059984356,4791.333333333333,99.55009905681771,0.0373177146209944,0.0007753545680591,0.4621934634606324,0.0012610561026862,0.7243665849689966,0.0025214034946154,0.2000203419522682,1.5285258636831092e-06,27570.735242930765,755.319392276641,11156.547219046886,113.39327458421118,1772.0,3.7416573867739418,0.0,0.0,0.0,0.0,48826.0,180.6949547349529,0.0,0.0,0.0,0.0,1.9538188277086863,0.0,1.9538188277086863,4.7908749075292745,0.45
0.45,0.4486091241928885,0.4483093802672185,0.4489088681185587,0.9025,207.575,0.1289811252286646,3,5.786666666666666,0.0205480466765632,0.0,0.0,2.893333333333333,0.0102740233382816,25.823800396657933,0.0490793004418852,0.0,0.0,25.823800396657933,0.0490793004418852,72.15111549305891,5.280768011043045,144.30223098611782,10.56153602208609,275.6666666666667,15.860503004493758,4484.333333333333,34.03266404826725,0.0349266185332014,0.0002650663513452,0.4548258925558433,0.0019231816096071,0.7096248417910352,0.0038480935305217,0.2000269433206515,4.574647848683595e-06,26747.747274692145,265.7977916293596,9889.197836721876,100.63773267044756,1577.3333333333333,26.04269997949948,0.0,0.0,0.0,0.0,51444.333333333336,232.92678868882575,0.0,0.0,0.0,0.0,2.7827116637063387,0.0,2.7827116637063387,0.4353947813032777,0.45
0.45,0.4486091241928885,0.4483093802672185,0.4489088681185587,0.95,218.5,0.1357696055038574,3,5.45,0.3470830832332034,0.0,0.0,2.725,0.1735415416166017,27.597972009153892,1.0576825519424768,0.0,0.0,27.597972009153892,1.0576825519424768,76.00707943302648,4.9846908775352015,152.01415886605295,9.969381755070405,273.6666666666667,29.00957696271277,4205.0,128.69343417595164,0.0327510066748187,0.0010023399575985,0.459633688330135,0.0038525667365857,0.7192347676581807,0.007697594202361,0.200032609002089,8.775537187085768e-06,25291.256865873904,1011.2574418809476,9394.524078039312,95.8015696168694,1507.0,41.40853374205209,0.0,0.0,0.0,0.0,52437.666666666664,280.72564700947595,0.0,0.0,0.0,0.0,-3.1971580817051426,0.0,-3.1971580817051426,5.802952274026563,0.45
